dataset,error_message
085701,Loading /autofs/space/transcend/MEG/AttenVis/085701/visit_20220324/085701_AttenVis_run02_behaviour.mat
085701,No missing values in RT
085701,Loading /autofs/space/transcend/MEG/AttenVis/085701/visit_20220324/085701_AttenVis_run03_behaviour.mat
085701,No missing values in RT
085702,Loading /autofs/space/transcend/MEG/AttenVis/085702/visit_20220809/085702_AttenVis_run01_behaviour.mat
085702,No missing values in RT
085702,Loading /autofs/space/transcend/MEG/AttenVis/085702/visit_20220809/085702_AttenVis_run02_behaviour.mat
085702,No missing values in RT
085702,Loading /autofs/space/transcend/MEG/AttenVis/085702/visit_20220809/085702_AttenVis_run03_behaviour.mat
085702,No missing values in RT
086401,Loading /autofs/space/transcend/MEG/AttenVis/086401/visit_20210609/086401_AttenVis_run01_behaviour.mat
086401,No missing values in RT
086401,Loading /autofs/space/transcend/MEG/AttenVis/086401/visit_20210609/086401_AttenVis_run02_behaviour.mat
086401,No missing values in RT
086401,Loading /autofs/space/transcend/MEG/AttenVis/086401/visit_20210609/086401_AttenVis_run03_behaviour.mat
086401,No missing values in RT
086901,Loading /autofs/space/transcend/MEG/AttenVis/086901/visit_20211104/086901_AttenVis_run01_behaviour.mat
086901,No missing values in RT
086901,Loading /autofs/space/transcend/MEG/AttenVis/086901/visit_20211104/086901_AttenVis_run02_behaviour.mat
086901,No missing values in RT
086901,Loading /autofs/space/transcend/MEG/AttenVis/086901/visit_20211104/086901_AttenVis_run03_behaviour.mat
086901,No missing values in RT
089201,Loading /autofs/space/transcend/MEG/AttenVis/089201/visit_20200305/089201_AttenVis_run01_behaviour.mat
089201,No missing values in RT
089201,Loading /autofs/space/transcend/MEG/AttenVis/089201/visit_20200305/089201_AttenVis_run02_behaviour.mat
089201,No missing values in RT
089201,Loading /autofs/space/transcend/MEG/AttenVis/089201/visit_20200305/089201_AttenVis_run03_behaviour.mat
089201,No missing values in RT
089901,Loading /autofs/space/transcend/MEG/AttenVis/089901/visit_20220812/089901_AttenVis_run01_behaviour.mat
089901,No missing values in RT
089901,Loading /autofs/space/transcend/MEG/AttenVis/089901/visit_20220812/089901_AttenVis_run02_behaviour.mat
089901,No missing values in RT
089901,Loading /autofs/space/transcend/MEG/AttenVis/089901/visit_20220812/089901_AttenVis_run03_behaviour.mat
089901,No missing values in RT
093101,Loading /autofs/space/transcend/MEG/AttenVis/093101/visit_20201127/093101_AttenVis_run01_behaviour.mat
093101,No missing values in RT
093101,Loading /autofs/space/transcend/MEG/AttenVis/093101/visit_20201127/093101_AttenVis_run02_behaviour.mat
093101,No missing values in RT
093101,Loading /autofs/space/transcend/MEG/AttenVis/093101/visit_20201127/093101_AttenVis_run03_behaviour.mat
093101,No missing values in RT
097201,Loading /autofs/space/transcend/MEG/AttenVis/097201/visit_20211118/097201_AttenVis_run01_behaviour.mat
097201,No missing values in RT
097201,Loading /autofs/space/transcend/MEG/AttenVis/097201/visit_20211118/097201_AttenVis_run02_behaviour.mat
097201,No missing values in RT
097201,Loading /autofs/space/transcend/MEG/AttenVis/097201/visit_20211118/097201_AttenVis_run03_behaviour.mat
097201,No missing values in RT
097901,Loading /autofs/space/transcend/MEG/AttenVis/097901/visit_20200129/097901_AttenVis_run01_behaviour.mat
097901,No missing values in RT
097901,Loading /autofs/space/transcend/MEG/AttenVis/097901/visit_20200129/097901_AttenVis_run02_behaviour.mat
097901,No missing values in RT
097901,Loading /autofs/space/transcend/MEG/AttenVis/097901/visit_20200129/097901_AttenVis_run03_behaviour.mat
097901,No missing values in RT
098101,Loading /autofs/space/transcend/MEG/AttenVis/098101/visit_20200229/098101_AttenVis_run01_behaviour.mat
098101,"    event_name  condition  response first_condition first_response Condition difficulty  RT  correct
165     target      0.816       NaN       search/10                   search         10 NaN      NaN"
098101,Loading /autofs/space/transcend/MEG/AttenVis/098101/visit_20200229/098101_AttenVis_run02_behaviour.mat
098101,No missing values in RT
098101,Loading /autofs/space/transcend/MEG/AttenVis/098101/visit_20200229/098101_AttenVis_run03_behaviour.mat
098101,No missing values in RT
098501,Loading /autofs/space/transcend/MEG/AttenVis/098501/visit_20200312/098501_AttenVis_run01_behaviour.mat
098501,No missing values in RT
098501,Loading /autofs/space/transcend/MEG/AttenVis/098501/visit_20200312/098501_AttenVis_run02_behaviour.mat
098501,No missing values in RT
098501,Loading /autofs/space/transcend/MEG/AttenVis/098501/visit_20200312/098501_AttenVis_run03_behaviour.mat
098501,No missing values in RT
101901,Loading /autofs/space/transcend/MEG/AttenVis/101901/visit_20190411/101901_AttenVis_run01_behaviour.mat
101901,No missing values in RT
101901,Loading /autofs/space/transcend/MEG/AttenVis/101901/visit_20190411/101901_AttenVis_run02_behaviour.mat
101901,No missing values in RT
101901,Loading /autofs/space/transcend/MEG/AttenVis/101901/visit_20190411/101901_AttenVis_run03_behaviour.mat
101901,No missing values in RT
102001,Loading /autofs/space/transcend/MEG/AttenVis/102001/visit_20190401/102001_AttenVis_run01_behaviour.mat
102001,No missing values in RT
102001,Loading /autofs/space/transcend/MEG/AttenVis/102001/visit_20190401/102001_AttenVis_run02_behaviour.mat
102001,No missing values in RT
102001,Loading /autofs/space/transcend/MEG/AttenVis/102001/visit_20190401/102001_AttenVis_run03_behaviour.mat
102001,No missing values in RT
102201,Loading /autofs/space/transcend/MEG/AttenVis/102201/visit_20190318/102201_AttenVis_run01_behaviour.mat
102201,No missing values in RT
102201,Loading /autofs/space/transcend/MEG/AttenVis/102201/visit_20190318/102201_AttenVis_run02_behaviour.mat
102201,No missing values in RT
102201,Loading /autofs/space/transcend/MEG/AttenVis/102201/visit_20190318/102201_AttenVis_run03_behaviour.mat
102201,No missing values in RT
102901,Loading /autofs/space/transcend/MEG/AttenVis/102901/visit_20190606/102901_AttenVis_run01_behaviour.mat
102901,No missing values in RT
102901,Loading /autofs/space/transcend/MEG/AttenVis/102901/visit_20190606/102901_AttenVis_run02_behaviour.mat
102901,No missing values in RT
102901,Loading /autofs/space/transcend/MEG/AttenVis/102901/visit_20190606/102901_AttenVis_run03_behaviour.mat
102901,No missing values in RT
