dataset,error_message
130901,Loading /autofs/space/transcend/MEG/AttenVis/130901/visit_20240229/130901_AttenVis_run03_behaviour.mat
130901,No missing values in RT
132901,Loading /autofs/space/transcend/MEG/AttenVis/132901/visit_20240316/132901_AttenVis_run01_behaviour.mat
132901,No missing values in RT
132901,Loading /autofs/space/transcend/MEG/AttenVis/132901/visit_20240316/132901_AttenVis_run02_behaviour.mat
132901,No missing values in RT
132901,Loading /autofs/space/transcend/MEG/AttenVis/132901/visit_20240316/132901_AttenVis_run03_behaviour.mat
132901,No missing values in RT
133101,Loading /autofs/space/transcend/MEG/AttenVis/133101/visit_20240314/133101_AttenVis_run01_behaviour.mat
133101,No missing values in RT
133101,Loading /autofs/space/transcend/MEG/AttenVis/133101/visit_20240314/133101_AttenVis_run02_behaviour.mat
133101,No missing values in RT
133101,Loading /autofs/space/transcend/MEG/AttenVis/133101/visit_20240314/133101_AttenVis_run03_behaviour.mat
133101,No missing values in RT
135201,Loading /autofs/space/transcend/MEG/AttenVis/135201/visit_20240405/135201_AttenVis_run01_behaviour.mat
135201,No missing values in RT
135201,Loading /autofs/space/transcend/MEG/AttenVis/135201/visit_20240405/135201_AttenVis_run02_behaviour.mat
135201,No missing values in RT
135201,Loading /autofs/space/transcend/MEG/AttenVis/135201/visit_20240405/135201_AttenVis_run03_behaviour.mat
135201,No missing values in RT
135501,Loading /autofs/space/transcend/MEG/AttenVis/135501/visit_20240412/135501_AttenVis_run01_behaviour.mat
135501,No missing values in RT
135501,Loading /autofs/space/transcend/MEG/AttenVis/135501/visit_20240412/135501_AttenVis_run02_behaviour.mat
135501,No missing values in RT
135501,Loading /autofs/space/transcend/MEG/AttenVis/135501/visit_20240412/135501_AttenVis_run03_behaviour.mat
135501,No missing values in RT
136701,Loading /autofs/space/transcend/MEG/AttenVis/136701/visit_20240610/136701_AttenVis_run01_behaviour.mat
136701,No missing values in RT
136701,Loading /autofs/space/transcend/MEG/AttenVis/136701/visit_20240610/136701_AttenVis_run02_behaviour.mat
136701,No missing values in RT
136701,Loading /autofs/space/transcend/MEG/AttenVis/136701/visit_20240610/136701_AttenVis_run03_behaviour.mat
136701,No missing values in RT
136901,Loading /autofs/space/transcend/MEG/AttenVis/136901/visit_20240410/136901_AttenVis_run01_behaviour.mat
136901,No missing values in RT
136901,Loading /autofs/space/transcend/MEG/AttenVis/136901/visit_20240410/136901_AttenVis_run02_behaviour.mat
136901,No missing values in RT
136901,Loading /autofs/space/transcend/MEG/AttenVis/136901/visit_20240410/136901_AttenVis_run03_behaviour.mat
136901,No missing values in RT
137101,Loading /autofs/space/transcend/MEG/AttenVis/137101/visit_20240329/137101_AttenVis_run01_behaviour.mat
137101,No missing values in RT
137101,Loading /autofs/space/transcend/MEG/AttenVis/137101/visit_20240329/137101_AttenVis_run02_behaviour.mat
137101,No missing values in RT
137101,Loading /autofs/space/transcend/MEG/AttenVis/137101/visit_20240329/137101_AttenVis_run03_behaviour.mat
137101,No missing values in RT
137501,Loading /autofs/space/transcend/MEG/AttenVis/137501/visit_20240507/137501_AttenVis_run01_behaviour.mat
137501,No missing values in RT
137501,Loading /autofs/space/transcend/MEG/AttenVis/137501/visit_20240507/137501_AttenVis_run02_behaviour.mat
137501,No missing values in RT
137501,Loading /autofs/space/transcend/MEG/AttenVis/137501/visit_20240507/137501_AttenVis_run03_behaviour.mat
137501,No missing values in RT
139501,Loading /autofs/space/transcend/MEG/AttenVis/139501/visit_20240611/139501_AttenVis_run01_behaviour.mat
139501,No missing values in RT
139501,Loading /autofs/space/transcend/MEG/AttenVis/139501/visit_20240611/139501_AttenVis_run02_behaviour.mat
139501,No missing values in RT
139501,Loading /autofs/space/transcend/MEG/AttenVis/139501/visit_20240611/139501_AttenVis_run03_behaviour.mat
139501,No missing values in RT
139801,Loading /autofs/space/transcend/MEG/AttenVis/139801/visit_20240724/139801_AttenVis_run01_behaviour.mat
139801,No missing values in RT
139801,Loading /autofs/space/transcend/MEG/AttenVis/139801/visit_20240724/139801_AttenVis_run02_behaviour.mat
139801,No missing values in RT
139801,Loading /autofs/space/transcend/MEG/AttenVis/139801/visit_20240724/139801_AttenVis_run03_behaviour.mat
139801,No missing values in RT
140101,Loading /autofs/space/transcend/MEG/AttenVis/140101/visit_20240802/140101_AttenVis_run01_behaviour.mat
140101,No missing values in RT
140101,Loading /autofs/space/transcend/MEG/AttenVis/140101/visit_20240802/140101_AttenVis_run02_behaviour.mat
140101,No missing values in RT
140101,Loading /autofs/space/transcend/MEG/AttenVis/140101/visit_20240802/140101_AttenVis_run03_behaviour.mat
140101,No missing values in RT
140401,Loading /autofs/space/transcend/MEG/AttenVis/140401/visit_20240723/140401_AttenVis_run01_behaviour.mat
140401,No missing values in RT
140401,Loading /autofs/space/transcend/MEG/AttenVis/140401/visit_20240723/140401_AttenVis_run02_behaviour.mat
140401,No missing values in RT
140401,Loading /autofs/space/transcend/MEG/AttenVis/140401/visit_20240723/140401_AttenVis_run03_behaviour.mat
140401,No missing values in RT
140601,Loading /autofs/space/transcend/MEG/AttenVis/140601/visit_20240602/140601_AttenVis_run01_behaviour.mat
140601,No missing values in RT
140601,Loading /autofs/space/transcend/MEG/AttenVis/140601/visit_20240602/140601_AttenVis_run02_behaviour.mat
140601,No missing values in RT
140601,Loading /autofs/space/transcend/MEG/AttenVis/140601/visit_20240602/140601_AttenVis_run03_behaviour.mat
140601,No missing values in RT
142001,Loading /autofs/space/transcend/MEG/AttenVis/142001/visit_20240805/142001_AttenVis_run01_behaviour.mat
142001,No missing values in RT
142001,Loading /autofs/space/transcend/MEG/AttenVis/142001/visit_20240805/142001_AttenVis_run02_behaviour.mat
142001,No missing values in RT
142001,Loading /autofs/space/transcend/MEG/AttenVis/142001/visit_20240805/142001_AttenVis_run03_behaviour.mat
142001,No missing values in RT
143701,Loading /autofs/space/transcend/MEG/AttenVis/143701/visit_20240916/143701_AttenVis_run01_behaviour.mat
143701,No missing values in RT
143701,Loading /autofs/space/transcend/MEG/AttenVis/143701/visit_20240916/143701_AttenVis_run02_behaviour.mat
143701,No missing values in RT
143701,Loading /autofs/space/transcend/MEG/AttenVis/143701/visit_20240916/143701_AttenVis_run03_behaviour.mat
143701,No missing values in RT
143901,Loading /autofs/space/transcend/MEG/AttenVis/143901/visit_20240823/143901_AttenVis_run01_behaviour.mat
143901,No missing values in RT
143901,Loading /autofs/space/transcend/MEG/AttenVis/143901/visit_20240823/143901_AttenVis_run02_behaviour.mat
143901,No missing values in RT
143901,Loading /autofs/space/transcend/MEG/AttenVis/143901/visit_20240823/143901_AttenVis_run03_behaviour.mat
143901,No missing values in RT
148501,Loading /autofs/space/transcend/MEG/AttenVis/148501/visit_20250207/148501_AttenVis_run01_behaviour.mat
148501,No missing values in RT
148501,Loading /autofs/space/transcend/MEG/AttenVis/148501/visit_20250207/148501_AttenVis_run02_behaviour.mat
148501,No missing values in RT
148501,Loading /autofs/space/transcend/MEG/AttenVis/148501/visit_20250207/148501_AttenVis_run03_behaviour.mat
148501,No missing values in RT
149701,Loading /autofs/space/transcend/MEG/AttenVis/149701/visit_20250106/149701_AttenVis_run01_behaviour.mat
149701,No missing values in RT
149701,Loading /autofs/space/transcend/MEG/AttenVis/149701/visit_20250106/149701_AttenVis_run02_behaviour.mat
149701,No missing values in RT
149701,Loading /autofs/space/transcend/MEG/AttenVis/149701/visit_20250106/149701_AttenVis_run03_behaviour.mat
149701,No missing values in RT
150701,Loading /autofs/space/transcend/MEG/AttenVis/150701/visit_20250107/150701_AttenVis_run01_behaviour.mat
150701,No missing values in RT
150701,Loading /autofs/space/transcend/MEG/AttenVis/150701/visit_20250107/150701_AttenVis_run02_behaviour.mat
150701,No missing values in RT
150701,Loading /autofs/space/transcend/MEG/AttenVis/150701/visit_20250107/150701_AttenVis_run03_behaviour.mat
150701,No missing values in RT
